Số thứ tự,Tên đơn vị hành chính,Tỉnh/Thành phố,Chú thích,Dân số (người),Diện tích (km²),Mật độ dân số (người/km²),Số ĐVHC cấp xã
126,Chũ,Bắc Giang,thị xã,,,,10
127,Chư Păh,Gia Lai,,77.299,9746,79.0,14
128,Chư Prông,Gia Lai,,123.555,"1.693,9",73.0,20
129,Chư Pưh,Gia Lai,,77.511,7189,108.0,9
130,Chư Sê,Gia Lai,,121.965,6410,190.0,15
131,Chương Mỹ,Hà Nội,,337.326,2374,1.421,30
132,Cờ Đỏ,Cần Thơ,,116.576,3198,365.0,10
133,Cô Tô,Quảng Ninh,huyện đảo,6.285,501,125.0,3
134,Cồn Cỏ,Quảng Trị,huyện đảo,346,23,150.0,0
135,Con Cuông,Nghệ An,,75.168,"1.738,3",43.0,12
136,Côn Đảo,Bà Rịa – Vũng Tàu,huyện đảo,8.827,754,117.0,0
137,Củ Chi,Thành phố Hồ Chí Minh,,462.047,4345,1.063,21
138,Cư Jút,Đắk Nông,,92.464,7233,128.0,8
139,Cư Kuin,Đắk Lắk,,101.247,2883,351.0,8
140,Cù Lao Dung,Sóc Trăng,,58.304,2648,220.0,8
141,Cư M'gar,Đắk Lắk,,177.622,8244,215.0,17
142,Đà Bắc,Hòa Bình,,55.002,7780,71.0,17
143,Đạ Huoai,Lâm Đồng,,112.696,"1.449,5",234.0,23
144,Đakrông,Quảng Trị,,43.208,"1.224,5",35.0,13
145,Đà Lạt,Lâm Đồng,thành phố,226.578,3945,574.0,16
146,Đại Lộc,Quảng Nam,,141.851,5785,245.0,18
147,Đại Từ,Thái Nguyên,,171.703,5734,299.0,27
148,Đak Đoa,Gia Lai,,123.282,9853,125.0,17
149,Đăk Glei,Kon Tum,,48.761,"1.493,7",33.0,12
150,Đắk Glong,Đắk Nông,,67.782,"1.447,8",47.0,7
151,Đăk Hà,Kon Tum,,74.805,8450,89.0,11
152,Đắk Mil,Đắk Nông,,100.702,6790,148.0,10
153,Đak Pơ,Gia Lai,,40.442,5025,80.0,8
154,Đắk R'lấp,Đắk Nông,,83.555,6357,131.0,11
155,Đắk Song,Đắk Nông,,80.514,8065,100.0,9
156,Đăk Tô,Kon Tum,,47.544,5087,93.0,9
157,Đầm Dơi,Cà Mau,,175.629,8100,217.0,16
158,Đầm Hà,Quảng Ninh,,41.217,3269,126.0,9
159,Đam Rông,Lâm Đồng,,54.217,8721,62.0,8
160,Đan Phượng,Hà Nội,,174.501,780,2.237,16
161,Dầu Tiếng,Bình Dương,,112.472,7211,156.0,12
162,Dĩ An,Bình Dương,thành phố,403.760[7],601,6.718,7
163,Di Linh,Lâm Đồng,,159.994,"1.614,2",99.0,19
164,Điện Bàn,Quảng Nam,thị xã,226.564,2163,1.047,20
165,Điện Biên,Điện Biên,,93.850[8],"1.396,0",67.0,21
166,Điện Biên Đông,Điện Biên,,67.080,"1.209,0",55.0,14
167,Điện Biên Phủ,Điện Biên,thành phố,80.366[8],3082,261.0,12
168,Diễn Châu,Nghệ An,,312.506,3050,1.025,32
169,Diên Khánh,Khánh Hòa,,143.211,3376,424.0,17
170,Định Hóa,Thái Nguyên,,89.288,5135,174.0,22
171,Đình Lập,Lạng Sơn,,28.579,"1.189,6",24.0,12
172,Định Quán,Đồng Nai,,187.306,9711,193.0,14
173,Đô Lương,Nghệ An,,213.543,3501,610.0,32
174,Đồ Sơn,Hải Phòng,quận,49.029,459,1.068,6
175,Đoan Hùng,Phú Thọ,,115.131,3029,380.0,14
176,Đơn Dương,Lâm Đồng,,107.281,6114,175.0,9
177,Đông Anh,Hà Nội,,405.749,1856,2.186,24
178,Đống Đa,Hà Nội,quận,371.606,100,37.161,17
179,Đông Giang,Quảng Nam,,25.116,8219,31.0,11
180,Đông Hà,Quảng Trị,thành phố,95.658,730,1.31,9
181,Đông Hải,Bạc Liêu,,152.619,5701,268.0,11
182,Đông Hòa,Phú Yên,thị xã,119.991[9],2656,452.0,10
183,Đồng Hới,Quảng Bình,thành phố,133.672,1559,857.0,15
184,Đông Hưng,Thái Bình,,244.838,1993,1.228,32
185,Đồng Hỷ,Thái Nguyên,,92.421,4277,216.0,14
186,Đồng Phú,Bình Phước,,96.481,9362,103.0,11
187,Đông Triều,Quảng Ninh,thành phố,171.673,3966,433.0,19
188,Đồng Văn,Hà Giang,,81.880,4517,181.0,19
189,Đồng Xoài,Bình Phước,thành phố,150.052[10],1673,897.0,8
190,Đồng Xuân,Phú Yên,,55.030,"1.033,3",53.0,11
191,Đức Cơ,Gia Lai,,75.718,7219,105.0,10
192,Đức Hòa,Long An,,315.711,4251,743.0,20
193,Đức Huệ,Long An,,65.961,4289,154.0,11
194,Đức Linh,Bình Thuận,,126.035,5466,231.0,12
195,Đức Phổ,Quảng Ngãi,thị xã,150.927[11],3728,405.0,15
196,Đức Thọ,Hà Tĩnh,,101.562,2035,499.0,16
197,Đức Trọng,Lâm Đồng,,186.974,9036,207.0,15
198,Dương Kinh,Hải Phòng,quận,60.319,468,1.289,6
199,Dương Minh Châu,Tây Ninh,,119.158,4356,274.0,11
200,Duy Tiên,Hà Nam,thị xã,177.150[12],1209,1.363,15
201,Duy Xuyên,Quảng Nam,,126.686,3092,410.0,13
202,Duyên Hải,Trà Vinh,thị xã,48.210,1751,275.0,7
203,Duyên Hải,Trà Vinh,,78.444,3054,257.0,7
204,Ea H'leo,Đắk Lắk,,136.880,"1.335,1",103.0,12
205,Ea Kar,Đắk Lắk,,144.450,"1.037,5",139.0,16
206,Ea Súp,Đắk Lắk,,70.724,"1.765,6",40.0,10
207,Gia Bình,Bắc Ninh,,132.297,1076,1.23,14
208,Gia Lâm,Hà Nội,,286.102,1167,2.452,17
209,Gia Lộc,Hải Dương,,115.617[13],997,1.16,14
210,Gia Nghĩa,Đắk Nông,thành phố,85.082[14],2841,299.0,8
211,Giá Rai,Bạc Liêu,thị xã,143.613,3550,405.0,10
212,Gia Viễn,Ninh Bình,,120.992,1767,685.0,21
213,Giang Thành,Kiên Giang,,29.215,4128,71.0,5
214,Giao Thủy,Nam Định,,167.752,2378,705.0,20
215,Gio Linh,Quảng Trị,,75.276,4738,159.0,14
216,Giồng Riềng,Kiên Giang,,224.655,6394,351.0,19
217,Giồng Trôm,Bến Tre,,169.987,3126,544.0,21
218,Gò Công,Tiền Giang,thành phố,99.657,1017,980.0,10
219,Gò Công Đông,Tiền Giang,,139.060,2732,509.0,13
220,Gò Công Tây,Tiền Giang,,127.132,1845,689.0,13
221,Gò Dầu,Tây Ninh,,152.757,2600,588.0,9
222,Gò Quao,Kiên Giang,,132.508,4395,301.0,11
223,Gò Vấp,Thành phố Hồ Chí Minh,quận,676.899,197,34.36,12
224,Hà Đông,Hà Nội,quận,397.854,496,8.021,15
225,Hà Giang,Hà Giang,thành phố,55.559,1335,416.0,8
226,Hạ Hòa,Phú Thọ,,104.997,3415,307.0,20
227,Hạ Lang,Cao Bằng,,25.439,4565,56.0,13
228,Hạ Long,Quảng Ninh,thành phố,300.267[15],"1.119,1",268.0,32
229,Hà Quảng,Cao Bằng,,59.467[16],8110,73.0,21
230,Hà Tiên,Kiên Giang,thành phố,81.576[17],1005,812.0,7
231,Hà Tĩnh,Hà Tĩnh,thành phố,104.037,566,1.838,27
232,Hà Trung,Thanh Hóa,,118.826,2438,487.0,19
233,Hải An,Hải Phòng,quận,144.256,976,1.477,8
234,Hai Bà Trưng,Hà Nội,quận,303.586,103,29.474,15
235,Hải Châu,Đà Nẵng,quận,201.522,233,8.649,9
236,Hải Dương,Hải Dương,thành phố,299.638[13],1116,2.684,24
237,Hải Hà,Quảng Ninh,,61.566,5116,120.0,11
238,Hải Hậu,Nam Định,,262.901,2281,1.153,24
239,Hải Lăng,Quảng Trị,,79.533,4251,187.0,15
240,Hàm Tân,Bình Thuận,,70.697,7391,96.0,10
241,Hàm Thuận Bắc,Bình Thuận,,184.131,"1.344,5",137.0,17
242,Hàm Thuận Nam,Bình Thuận,,116.544,"1.058,4",110.0,13
243,Hàm Yên,Tuyên Quang,,121.342,9006,135.0,18
244,Hậu Lộc,Thanh Hóa,,176.418,1437,1.228,22
245,Hiệp Đức,Quảng Nam,,37.127,4969,75.0,10
246,Hiệp Hòa,Bắc Giang,,247.460,2060,1.201,19
247,Hòa An,Cao Bằng,,52.762,6060,87.0,15
248,Hòa Bình,Hòa Bình,thành phố,135.718[18],3487,389.0,19
249,Hòa Bình,Bạc Liêu,,117.753,3760,313.0,8
250,Hoa Lư,Ninh Bình,thành phố,225.831,1503,3.984,20
251,Hòa Thành,Tây Ninh,thị xã,147.666[19],829,1.781,10
252,Hòa Vang,Đà Nẵng,,145.749,7332,199.0,11
253,Hoài Ân,Bình Định,,85.700,7532,114.0,15
254,Hoài Đức,Hà Nội,,262.978,850,3.094,20
255,Hoài Nhơn,Bình Định,thị xã,212.063[20],4208,504.0,17
256,Hoàn Kiếm,Hà Nội,quận,135.618,53,25.588,18
257,Hoằng Hóa,Thanh Hóa,,233.043,2038,1.143,36
258,Hoàng Mai,Hà Nội,quận,506.347,403,12.564,14
259,Hoàng Mai,Nghệ An,thị xã,113.360,1698,668.0,10
260,Hoàng Sa,Đà Nẵng,huyện đảo,0,3050,0.0,0
261,Hoàng Su Phì,Hà Giang,,66.683,6324,105.0,24
262,Hóc Môn,Thành phố Hồ Chí Minh,,542.243,1092,4.966,12
263,Hội An,Quảng Nam,thành phố,98.599,636,1.55,13
264,Hòn Đất,Kiên Giang,,156.273,"1.039,6",150.0,14
265,Hớn Quản,Bình Phước,,98.817,6641,149.0,13
266,Hồng Bàng,Hải Phòng,quận,177.820,397,4.471,10
267,Hồng Dân,Bạc Liêu,,111.848,4240,264.0,9
268,Hồng Lĩnh,Hà Tĩnh,thị xã,38.411,590,651.0,6
269,Hồng Ngự,Đồng Tháp,thành phố,100.610[21],1218,826.0,7
270,Hồng Ngự,Đồng Tháp,,120.571,2096,575.0,10
271,Hưng Hà,Thái Bình,,253.272,2103,1.204,33
272,Hưng Nguyên,Nghệ An,,124.245,1592,780.0,15
273,Hưng Yên,Hưng Yên,thành phố,116.356,739,1.575,15
274,Hướng Hóa,Quảng Trị,,90.918,"1.152,8",79.0,21
275,Hương Khê,Hà Tĩnh,,99.307,"1.262,7",79.0,20
276,Hương Sơn,Hà Tĩnh,,112.426,"1.096,8",103.0,22
277,Hương Thủy,Huế,thị xã,95.299[22],4270,223.0,10
278,Hương Trà,Huế,thị xã,72.677[22],3923,185.0,9
279,Hữu Lũng,Lạng Sơn,,121.735,8076,151.0,23
280,Ia Grai,Gia Lai,,105.664,"1.119,6",94.0,13
281,Ia H'Drai,Kon Tum,,10.210,9802,10.0,3
282,Ia Pa,Gia Lai,,56.596,8686,65.0,9
283,Kbang,Gia Lai,,65.437,"1.840,9",36.0,13
284,Kế Sách,Sóc Trăng,,149.156,3528,423.0,13
285,Khánh Sơn,Khánh Hòa,,25.349,3385,75.0,8
286,Khánh Vĩnh,Khánh Hòa,,39.780,"1.167,2",34.0,14
287,Khoái Châu,Hưng Yên,,188.255,1310,1.437,20
288,Kiến An,Hải Phòng,quận,118.047,296,3.988,7
289,Kiên Hải,Kiên Giang,huyện đảo,17.588,246,715.0,4
290,Kiên Lương,Kiên Giang,,79.484,4733,168.0,8
291,Kiến Thụy,Hải Phòng,,140.417,1089,1.289,16
292,Kiến Tường,Long An,thị xã,43.674,2044,214.0,8
293,Kiến Xương,Thái Bình,,216.682,2020,1.073,29
294,Kim Bảng,Hà Nam,thị xã,125.634,1754,716.0,17
295,Kim Bôi,Hòa Bình,,118.767,5510,216.0,17
296,Kim Động,Hưng Yên,,117.734,1033,1.14,15
297,Kim Sơn,Ninh Bình,,182.942,2157,848.0,26
298,Kim Thành,Hải Dương,,136.150,1151,1.183,14
299,Kinh Môn,Hải Dương,thị xã,203.638[23],1653,1.232,22
300,Kon Plông,Kon Tum,,26.025,"1.371,2",19.0,9
301,Kon Rẫy,Kon Tum,,28.591,9139,31.0,7
302,Kon Tum,Kon Tum,thành phố,168.264,4329,389.0,21
303,Kông Chro,Gia Lai,,52.406,"1.439,7",36.0,14
304,Krông Ana,Đắk Lắk,,79.892,3561,224.0,8
305,Krông Bông,Đắk Lắk,,92.064,"1.257,5",73.0,13
306,Krông Búk,Đắk Lắk,,64.859,3578,181.0,7
307,Krông Năng,Đắk Lắk,,126.366,6148,206.0,12
308,Krông Nô,Đắk Nông,,74.446,8137,91.0,12
309,Krông Pa,Gia Lai,,86.416,"1.623,7",53.0,14
310,Krông Pắc,Đắk Lắk,,194.607,6258,311.0,16
311,Kỳ Anh,Hà Tĩnh,thị xã,82.955,2822,294.0,11
312,Kỳ Anh,Hà Tĩnh,,121.662,7596,160.0,20
313,Kỳ Sơn,Nghệ An,,80.288,"2.094,3",38.0,21
314,La Gi,Bình Thuận,thị xã,107.057,1854,577.0,9
315,Lạc Dương,Lâm Đồng,,27.956,"1.311,4",21.0,6
316,Lạc Sơn,Hòa Bình,,136.652,5875,233.0,24
317,Lạc Thủy,Hòa Bình,,60.393,3136,193.0,10
318,Lai Châu,Lai Châu,thành phố,42.973[24],924,465.0,7
319,Lai Vung,Đồng Tháp,,164.240,2387,688.0,12
320,Lắk,Đắk Lắk,,69.885,"1.256,0",56.0,11
321,Lâm Bình,Tuyên Quang,,51.421[6],9176,56.0,10
322,Lâm Hà,Lâm Đồng,,144.436,9302,155.0,16
323,Lâm Thao,Phú Thọ,,107.989,984,1.097,12
324,Lang Chánh,Thanh Hóa,,49.654,5856,85.0,10
325,Lạng Giang,Bắc Giang,,216.996,2441,889.0,19
326,Lạng Sơn,Lạng Sơn,thành phố,103.284,779,1.326,8
327,Lào Cai,Lào Cai,thành phố,130.671[4],2821,463.0,17
328,Lập Thạch,Vĩnh Phúc,,136.150,1722,791.0,19
329,Lấp Vò,Đồng Tháp,,180.627,2460,734.0,13
330,Lê Chân,Hải Phòng,quận,219.762,119,18.467,7
331,Lệ Thủy,Quảng Bình,,137.831,"1.401,8",98.0,26
332,Liên Chiểu,Đà Nẵng,quận,166.832,809,2.06,5
333,Lộc Bình,Lạng Sơn,,84.740,9864,86.0,20
334,Lộc Ninh,Bình Phước,,114.319,8533,134.0,16
335,Long Biên,Hà Nội,quận,322.549,598,5.394,13
336,Long Đất,Bà Rịa – Vũng Tàu,,209.293,2665,2.139,11
337,Long Hồ,Vĩnh Long,,167.698,1963,854.0,14
338,Long Khánh,Đồng Nai,thành phố,171.276[25],1918,893.0,13
339,Long Mỹ,Hậu Giang,thị xã,62.339,1445,431.0,9
340,Long Mỹ,Hậu Giang,,77.346,2540,305.0,8
341,Long Phú,Sóc Trăng,,94.255,2637,357.0,11
342,Long Thành,Đồng Nai,,246.051,4307,571.0,14
343,Long Xuyên,An Giang,thành phố,272.365,1154,2.36,12
344,Lục Nam,Bắc Giang,,226.194,6086,372.0,24
345,Lục Ngạn,Bắc Giang,,226.540,"1.032,5",219.0,19
346,Lục Yên,Yên Bái,,108.817,8100,134.0,24
347,Lương Sơn,Hòa Bình,,99.457,3649,273.0,11
348,Lương Tài,Bắc Ninh,,127.291,1059,1.202,12
349,Lý Nhân,Hà Nam,,195.000,1688,1.155,21
350,Lý Sơn,Quảng Ngãi,huyện đảo,22.174[11],104,2.132,0
351,M'Drắk,Đắk Lắk,,72.153,"1.336,3",54.0,13
352,Mai Châu,Hòa Bình,,55.640,5698,98.0,16
353,Mai Sơn,Sơn La,,163.881,"1.426,7",115.0,22
354,Mang Thít,Vĩnh Long,,96.172,1625,592.0,12
355,Mang Yang,Gia Lai,,68.273,"1.127,2",61.0,12
356,Mê Linh,Hà Nội,,240.555,1425,1.688,17
357,Mèo Vạc,Hà Giang,,86.071,5742,150.0,18
358,Minh Hóa,Quảng Bình,,50.670,"1.393,8",36.0,13
359,Minh Long,Quảng Ngãi,,18.722,2172,86.0,5
360,Mỏ Cày Bắc,Bến Tre,,113.210,1652,685.0,13
361,Mỏ Cày Nam,Bến Tre,,143.577,2308,622.0,16
362,Mộ Đức,Quảng Ngãi,,112.592,2140,526.0,12
363,Mộc Châu,Sơn La,thị xã,114.460,"1.071,7",107.0,15
364,Mộc Hóa,Long An,,28.165,3000,94.0,7
365,Móng Cái,Quảng Ninh,thành phố,108.553,5196,209.0,16
366,Mù Cang Chải,Yên Bái,,63.961,"1.197,9",53.0,14
367,Mường Ảng,Điện Biên,,48.416,4435,109.0,10
368,Mường Chà,Điện Biên,,48.005,"1.199,4",40.0,12
369,Mường Khương,Lào Cai,,63.682,5561,115.0,16
370,Mường La,Sơn La,,99.534,"1.425,4",70.0,16
371,Mường Lát,Thanh Hóa,,39.948,8124,49.0,8
372,Mường Lay,Điện Biên,thị xã,11.162,1126,99.0,3
373,Mường Nhé,Điện Biên,,45.727,"1.573,7",29.0,11
374,Mường Tè,Lai Châu,,46.143,"2.679,3",17.0,14
375,Mỹ Đức,Hà Nội,,199.901,2263,883.0,20
376,Mỹ Hào,Hưng Yên,thị xã,158.673[26],794,1.998,13
377,Mỹ Tho,Tiền Giang,thành phố,228.109,823,2.772,14
378,Mỹ Tú,Sóc Trăng,,90.524,3682,246.0,10
379,Mỹ Xuyên,Sóc Trăng,,150.067,3737,402.0,11
380,Na Hang,Tuyên Quang,,43.248,8635,50.0,12
381,Na Rì,Bắc Kạn,,38.263,8530,45.0,17
382,Năm Căn,Cà Mau,,56.813,4828,118.0,8
383,Nam Đàn,Nghệ An,,164.634,2925,563.0,17
384,Nam Định,Nam Định,thành phố,364.181,1209,3.012,21
385,Nam Giang,Quảng Nam,,26.123,"1.846,6",14.0,12
386,Nậm Nhùn,Lai Châu,,27.261,"1.388,0",20.0,11
387,Nậm Pồ,Điện Biên,,54.908,"1.498,1",37.0,15
388,Nam Sách,Hải Dương,,126.325,1110,1.138,15
389,Nam Trà My,Quảng Nam,,31.306,8264,38.0,10
390,Nam Trực,Nam Định,,183.241,1639,1.118,18
391,Nam Từ Liêm,Hà Nội,quận,269.076[3],322,8.364,10
392,Ngã Bảy,Hậu Giang,thành phố,101.192[27],781,1.296,6
393,Ngã Năm,Sóc Trăng,thị xã,74.115,2422,306.0,8
394,Nga Sơn,Thanh Hóa,,141.114,1578,894.0,23
395,Ngân Sơn,Bắc Kạn,,29.269,6459,45.0,10
396,Nghi Lộc,Nghệ An,,218.005,3459,630.0,23
397,Nghi Sơn,Thanh Hóa,thị xã,307.304[28],4556,675.0,30
398,Nghi Xuân,Hà Tĩnh,,102.160,2225,459.0,17
399,Nghĩa Đàn,Nghệ An,,140.515,6178,227.0,20
400,Nghĩa Hành,Quảng Ngãi,,82.250,2344,351.0,12
401,Nghĩa Hưng,Nam Định,,175.786,2589,679.0,20
402,Nghĩa Lộ,Yên Bái,thị xã,68.206[29],1078,633.0,14
403,Ngô Quyền,Hải Phòng,quận,165.309,113,14.629,8
404,Ngọc Hiển,Cà Mau,,66.874,7086,94.0,7
405,Ngọc Hồi,Kon Tum,,58.913,8438,70.0,8
406,Ngọc Lặc,Thanh Hóa,,136.611,4910,278.0,21
407,Ngũ Hành Sơn,Đà Nẵng,quận,90.352,402,2.248,4
408,Nguyên Bình,Cao Bằng,,39.654,8380,47.0,17
409,Nhà Bè,Thành phố Hồ Chí Minh,,206.837,1004,2.06,7
